No,Empati,Responsivitas
1,7,15
2,5,8
3,6,15
4,4,12
5,5,10
6,6,12
7,6,12
8,6,12
9,8,12
10,7,15
11,6,12
12,6,12
13,8,15
14,7,14
15,10,16
16,3,9
17,6,12
18,6,12
19,7,13
20,6,12
21,6,12
22,5,15
23,8,17
24,8,18
25,8,16
26,9,18
27,6,10
28,8,15
29,6,15
30,9,17
31,9,13
32,8,15
33,8,16
34,8,16
35,10,18
36,8,16
37,7,15
38,9,15
39,9,14
40,10,18
41,9,20
42,10,17
43,2,15
44,7,15
45,8,15
46,9,14
47,8,16
48,8,15
49,8,16
50,8,13
51,8,12
52,7,18
53,10,19
54,7,11
55,10,17
56,10,19
57,10,17
58,10,20
59,7,14
60,10,20
61,10,20
62,10,18
63,10,18
64,9,15
65,8,16
66,9,17
67,10,15
68,9,17
69,10,18
70,8,16
71,9,15
72,9,18
73,9,18
74,9,20
75,9,17
76,8,17
